id,avtor

15th_Street,Carl Burgos

48th_Street,Carl Burgos

75th_Street,Jack Kirby

A-14_(Earth-616),Gene Colan

A-Chiltarians,Ernest Hart

A-Chiltarians,Don Heck

A.I.M._Sub,Jack Kirby

A.I.M._Uniforms,Don Heck

A.I.M._Uniforms,Jack Kirby

Abner_Jenkins_(Earth-616),Carl Burgos

Abner_Jonas_(Earth-616),Wally Wood

Abraham_Lincoln_(Earth-616),Jack Kirby

Absorba-Bomb,Jack Kirby

Absorbing_Man%27s_Ball_and_Chain,Jack Kirby

Abstract_Entities,Steve Ditko

Abu_Ben_Hakim_(Earth-616),Steve Ditko

Abu_Dakir_(Earth-616),Jack Kirby

Aces_Wilde_(Earth-616),Gene Colan

Ace_Fenton_(Earth-616),Dick Ayers

Acme_Warehouse,Steve Ditko

Actor_(Spy)_(Earth-616),Robert Bernstein

Actor_(Spy)_(Earth-616),Don Heck

Adamantine_(Metal),Jack Kirby

Adam_Able_(Earth-616),Steve Ditko

Adam_Warlock_(Earth-616),Jack Kirby

Adam_Warlock_(Earth-616),Roy Thomas

Adaptoids,Gene Colan

Adaptoids,Jack Kirby

Adhesive_X,Jack Kirby

Adjudicator_(Earth-71016),John Romita Jr.

Adrian_Toomes_(Earth-616),Steve Ditko

Adria_(Earth-616),Steve Ditko

Advanced_Idea_Mechanics_(Earth-616),Jack Kirby

Aesir_(2099)_(Earth-928),Paul Ryan

Agatha_Harkness_(Earth-616),Jack Kirby

Aged_Genghis_(Earth-616),Steve Ditko

Agent_3_(Schlag)_(Earth-616),Jack Kirby

Agent_3_(Schlag)_(Earth-616),George Tuska

Agent_L_(Earth-616),Jack Kirby

Agent_L_(Earth-616),John Severin

Agent_R-2_(Earth-616),Gene Colan

Aggamon_(Earth-616),Steve Ditko

"Agnar,_King_of_the_Eagles_(Earth-616)",Don Heck

Agnar_(Earth-616),Jack Kirby

Agon_(Earth-616),Jack Kirby

Air-Walker_(Automaton)_(Earth-616),John Buscema

Aireo_(Earth-616),Jack Kirby

Air_Gun,Jack Kirby

Akar_(Earth-616),Mike Ploog

Alan_Turing_(Earth-616),Mark Waid

Alberia,Don Heck

Albert_Einstein_(Earth-616),Don Heck

Albert_Malik_(Earth-616),John Romita

Albert_Malik_(Earth-616),Steve Englehart

Albert_Poole_(Earth-616),Paul Reinman

Alchemax_Board_of_Directors_(Earth-928),Paul Ryan

Alec_Dupledge_(Earth-928),Paul Ryan

Aleksei_Sytsevich_(Earth-616),John Romita Sr.

