id,tip,naziv,pravo_ime,vesolje,razmerje,naslov,izdaja,leto,mesec

15th_Street,Location,,,,,Tales to Astonish,63,1965,January

48th_Street,Location,,,,,Daredevil,259,1988,October

75th_Street,Location,,,,,Thor,129,1966,June

A-14_(Earth-616),Character,Agent A-14,Unknown,Earth-616,Single,Captain America,124,1970,April

A-Chiltarians,Race,,,,,Tales to Astonish,46,1963,August

A.I.M._Sub,Item,,,,,Tales of Suspense,93,1967,September

A.I.M._Uniforms,Item,,,,,Strange Tales,146,1966,July

Abner_Jenkins_(Earth-616),Character,MACH-X,Abner Ronald Jenkins,Earth-616,Single,Strange Tales,123,1964,August

Abner_Jonas_(Earth-616),Character,Organizer,Abner Jonas,Earth-616,Single,Daredevil,10,1965,October

Abraham_Lincoln_(Earth-616),Character,Abraham Lincoln,Abraham Lincoln,Earth-616,Married,Marvel Team-Up,45,1976,May

Absorba-Bomb,Item,,,,,Fantastic Four,54,1966,September

Absorbing_Man%27s_Ball_and_Chain,Item,,,,,Journey into Mystery,114,1965,March

Abstract_Entities,Race,,,,,Strange Tales,138,1965,November

Abu_Ben_Hakim_(Earth-616),Character,Abu Ben Hakim,Abu Ben Hakim,Earth-616,Single,Strange Tales,136,1965,September

Abu_Dakir_(Earth-616),Character,Abu Dakir,Abu Dakir,Earth-616,Single,Thor,139,1967,April

Aces_Wilde_(Earth-616),Character,Aces Wilde,Wilde,Earth-616,Single,Captain America,123,1970,March

Ace_Fenton_(Earth-616),Character,Grizzly,Ace Fenton,Earth-616,Single,Rawhide Kid,40,1964,June

Acme_Warehouse,Location,,,,,Amazing Fantasy,15,1962,August

Actor_(Spy)_(Earth-616),Character,Actor,Unknown,Earth-616,Single,Tales of Suspense,42,1963,June

Adamantine_(Metal),Item,,,,,Journey Into Mystery Annual,1,1965,October

Adam_Able_(Earth-616),Character,Adam Able,Unknown,Earth-616,Single,Journey into Mystery,82,1962,July

Adam_Warlock_(Earth-616),Character,Warlock,Adam Warlock,Earth-616,Single,Fantastic Four,66,1967,September

Adaptoids,Race,,,,,Tales of Suspense,82,1966,October

Adhesive_X,Item,,,,,Avengers,6,1964,July

Adjudicator_(Earth-71016),Character,Adjudicator,Unknown,Earth-71016,,The Last Fantastic Four Story,1,2007,October

Adrian_Toomes_(Earth-616),Character,Vulture,Adrian Toomes,Earth-616,Widowed,Amazing Spider-Man,2,1963,May

Adria_(Earth-616),Character,Adria,Adria,Earth-616,Single,Strange Tales,141,1966,February

Advanced_Idea_Mechanics_(Earth-616),Organization,,,,,Strange Tales,146,1966,July

Aesir_(2099)_(Earth-928),Team,,,,,Ravage 2099,15,1994,February

Agatha_Harkness_(Earth-616),Character,Agatha Harkness,Agatha Harkness,Earth-616,Married,Fantastic Four,94,1970,January

Aged_Genghis_(Earth-616),Character,Aged Genghis,Unknown,Earth-616,Single,Strange Tales,136,1965,September

Agent_3_(Schlag)_(Earth-616),Character,Agent 3,Schlag,Earth-616,Single,Tales of Suspense,73,1966,January

Agent_L_(Earth-616),Character,Agent L,Unknown,Earth-616,,Strange Tales,137,1965,October

Agent_R-2_(Earth-616),Character,Agent R-2,Unknown,Earth-616,,Captain America,120,1969,December

Aggamon_(Earth-616),Character,Aggamon,Aggamon,Earth-616,,Strange Tales,119,1964,April

"Agnar,_King_of_the_Eagles_(Earth-616)",Character,King of the Eagles,Agnar,Earth-616,,Journey into Mystery,100,1964,January

Agnar_(Earth-616),Character,Agnar the Fierce,Agnar,Earth-616,,Journey into Mystery,104,1964,May

Agnes_Ames_(Earth-616),Character,Agnes Ames,Agnes Ames,Earth-616,,Modeling With Millie,31,1964,June

Agon_(Earth-616),Character,King Agon,Agon,Earth-616,Married,Thor,148,1968,January

Air-Walker_(Automaton)_(Earth-616),Character,Air-Walker,Air-Walker,Earth-616,,Fantastic Four,120,1972,March

Aireo_(Earth-616),Character,Skybreaker,Aireo,Earth-616,,Fantastic Four,47,1966,February

Air_Gun,Item,,,,,Fantastic Four,87,1969,June

Akar_(Earth-616),Character,Akar,Akar,Earth-616,,Giant-Size Man-Thing,1,1974,August

Alan_Turing_(Earth-616),Character,Alan Turing,Alan Turing,Earth-616,,S.H.I.E.L.D.,9,2015,October

Alberia,Location,,,,,Tales of Suspense,69,1965,September

Albert_Einstein_(Earth-616),Character,Albert Einstein,Albert Einstein,Earth-616,Divorced,Amazing Adventures,5,1961,October

Albert_Malik_(Earth-616),Character,Red Skull,Albert Malik,Earth-616,Single,Young Men,24,1953,December

Albert_Poole_(Earth-616),Character,Albert Poole,Albert Poole,Earth-616,,Tales to Astonish,12,1960,October

Alchemax_Board_of_Directors_(Earth-928),Team,,,,,Ravage 2099,1,1992,December

Alec_Dupledge_(Earth-928),Character,Alec Dupledge,Alec Dupledge,Earth-928,Single,Ravage 2099,9,1993,August

Aleksei_Sytsevich_(Earth-616),Character,Rhino,Aleksei Mikhailovich Sytsevich,Earth-616,Widowed,Amazing Spider-Man,41,1966,October

Aleksei_Sytsevich_(Earth-92131),Character,Rhino,Unknown,Earth-92131,Single,"The Alien Costume, Part One",,1995,April

Alexander_Gentry_(Earth-616),Character,Porcupine,Alexander Gentry,Earth-616,Single,Tales to Astonish,48,1963,October

Alibar_(Earth-616),Character,Alibar,Alibar,Earth-616,,Thor,141,1967,June

Alice_Evans_(Earth-616),Character,Alice Evans,Alice Evans,Earth-616,Married,Tales to Astonish,13,1960,November

Alicia_Masters_(Earth-616),,Alicia Masters,Alicia Reiss Masters,Earth-616,Married,Fantastic Four,8,1962,November

Alicia_Masters_(Earth-71016),Character,Alicia Masters,Alicia Masters,Earth-71016,,The Last Fantastic Four Story,1,2007,October

Allan_Stevens_(Earth-616),Character,Allan Stevens,Allan Stevens,Earth-616,,Strange Tales,120,1964,May

Alpha_Primitives,Race,,,,,Fantastic Four,47,1966,February

Alvin_Bernard_Harper_(Earth-616),Character,Al B. Harper,Alvin Bernard Harper,Earth-616,Single,Silver Surfer,5,1969,April

Al_Hartley_(Earth-616),Character,Al Hartley,Al Hartley,Earth-616,,Patsy and Hedy,78,1961,October

Amora_(Earth-616),Character,Enchantress,Amora,Earth-616,Single,Journey into Mystery,103,1964,April

Amulet_of_Agamotto,Item,,,,,Strange Tales,110,1963,July

Anastasia_Hardy_(Earth-92131),Character,Anastasia Hardy,Anastasia Hardy,Earth-92131,Separated,Doctor Octopus: Armed and Dangerous,,1995,February

Anderthorp_Henton_(Earth-928),Character,Anderthorp Henton,Anderthorp Henton,Earth-928,,Ravage 2099,1,1992,December

Andrew_Davis_(Earth-616),Character,Andrew Davis,Andrew Davis,Earth-616,Single,Amazing Spider-Man,4,1963,September

Andrew_Thatcher_(Earth-616),Character,Thug Thatcher,Andrew Thatcher,Earth-616,Single,Journey into Mystery,89,1963,February

Andre_Rostov_(Earth-616),Character,Red Barbarian,Andre Rostov,Earth-616,,Tales of Suspense,42,1963,June

Android_Man_(Earth-616),Character,Android Man,Unknown,Earth-616,,Fantastic Four,79,1968,October

Android_X-4_(Earth-616),Character,Android X-4,Android X-4,Earth-616,,Captain America,127,1970,July

Andromeda_Galaxy,Location,,,,,Fantastic Four,18,1963,September

Anelle_(Earth-616),Character,Princess Anelle,Anelle,Earth-616,Single,Fantastic Four,37,1965,April

Angelo_Baldini_(Earth-616),Character,Baldini,Angelo Baldini,Earth-616,Single,Captain America,102,1968,June

Angel_(Mysterio%27s_Robots)_(Earth-616),Character,Angel,Angel,Earth-616,,Amazing Spider-Man Annual,1,1964,October

Angorr_(Earth-928),Character,Angorr,Unknown,Earth-928,,Ravage 2099,4,1993,March

Anna_May_(Earth-616),Character,Anna May-Watson,Anna May-Watson,Earth-616,Single,Amazing Spider-Man,15,1964,August

Anna_May_(Earth-77013),Character,Anna May Watson,Anna May Watson,Earth-77013,,Spider-Man Newspaper Strips,1977,1977,

Anne_Avery_(Earth-616),Character,Anne Avery,Anne Avery,Earth-616,Married,Journey into Mystery,71,1961,August

Anne_Benson_(Earth-616),Character,Anne Benson,Anne Benson,Earth-616,Single,Tales of Suspense,22,1961,October

Anne_Burke_(Earth-616),Character,Anne Burke,Anne Burke,Earth-616,Married,Amazing Adventures,6,1961,November

Anne_Carter_(Earth-616),Character,Anne Carter,Anne Carter,Earth-616,Married,Tales to Astonish,27,1962,January

Anne_Wentworth_(Earth-616),Character,Anne Wentworth,Anne Wentworth-Bentley,Earth-616,Married,Tales to Astonish,28,1962,February

Annihilus_(Earth-616),Character,Annihilus,Annihilus,Earth-616,Married,Fantastic Four Annual,6,1968,November

Ann_Macintosh_(Earth-616),Character,Ann Macintosh,Ann Macintosh,Earth-616,,Amazing Spider-Man Annual,18,1985,February

Ann_Norton_(Earth-616),Character,Ann Norton,Ann Norton,Earth-616,Single,Two-Gun Kid,42,1958,June

Ant-Man%27s_Ants,Team,,,,,Tales to Astonish,27,1962,January

